id,color,reg_city,assembly,cc,body
11838005,White,Islamabad,Imported,660 cc,N/A
11837147,White,Sindh,Imported,660 cc,N/A
11836884,Red,Lahore,Imported,660 cc,Hatchback
11836510,Silver,Islamabad,Local,660 cc,Hatchback
11836492,White,Abbottabad,Local,660 cc,Hatchback
11836060,White,Islamabad,Imported,660 cc,N/A
11836047,Silver,Islamabad,Imported,660 cc,Hatchback
11835969,Yellow,Un-Registered,Imported,660 cc,Hatchback
11835911,White,Un-Registered,Imported,660 cc,Hatchback
11833398,Silver,Islamabad,Imported,660 cc,N/A
11835497,Black,Lahore,Imported,660 cc,Hatchback
11835419,Black,Islamabad,Imported,660 cc,Hatchback
11835389,Silver,Islamabad,Local,660 cc,Hatchback
11834807,Grey,Islamabad,Imported,660 cc,N/A
11712179,Blue,Islamabad,Imported,660 cc,N/A
11834680,White,Islamabad,Imported,660 cc,Station Wagon
11834400,White,Islamabad,Local,660 cc,Hatchback
11833854,Grey,Islamabad,Local,660 cc,Hatchback
11833380,Superia White,Islamabad,Local,660 cc,Hatchback
11833314,Black,Islamabad,Imported,660 cc,Hatchback
11833309,Red,Islamabad,Imported,660 cc,Hatchback
11833087,Blue,Islamabad,Imported,660 cc,Hatchback
11832872,Silver,Lahore,Local,660 cc,Hatchback
11832841,Silver,Lahore,Local,660 cc,Hatchback
11832670,Red,Islamabad,Local,660 cc,Hatchback
11832065,Black,Islamabad,Imported,660 cc,Hatchback
11520607,White,Islamabad,Imported,660 cc,N/A
11831364,Burgundy,Islamabad,Imported,660 cc,Hatchback
11831112,White,Islamabad,Local,660 cc,Hatchback
11830993,Pink,Punjab,Imported,660 cc,Hatchback
11830964,Burgundy,Sindh,Imported,660 cc,Mini Van
11647675,Bluish Black Pearl,Punjab,Local,660 cc,Mini Van
11830154,White,Islamabad,Local,660 cc,Hatchback
11830029,Beige,Islamabad,Imported,660 cc,Hatchback
11829878,Silver,Punjab,Imported,660 cc,Hatchback
11829493,White,Islamabad,Local,660 cc,Hatchback
11829447,White,Punjab,Imported,660 cc,Hatchback
11829110,White,Islamabad,Local,660 cc,Hatchback
11828796,Black,Sindh,Imported,660 cc,Hatchback
11828624,Blue,Islamabad,Imported,660 cc,N/A
11828288,White,Islamabad,Local,660 cc,Hatchback
11828161,Grey,Islamabad,Imported,660 cc,N/A
11828171,Black,Punjab,Imported,660 cc,Hatchback
11825805,Solid White,Punjab,Local,660 cc,Hatchback
11827424,White,Islamabad,Imported,660 cc,N/A
11751893,Sky Blue,Rawalpindi,Imported,660 cc,Hatchback
11700505,Red Wine,Punjab,Imported,660 cc,Hatchback
11826013,Grey,Un-Registered,Imported,660 cc,Compact SUV
11825903,White,Punjab,Local,660 cc,Hatchback
11825868,Silver,Islamabad,Local,660 cc,Hatchback
11825697,White,Islamabad,Imported,660 cc,N/A
11825650,Red,Islamabad,Imported,660 cc,Hatchback
11824350,Sky Blue,Islamabad,Imported,660 cc,N/A
11823962,White,Punjab,Imported,660 cc,N/A
11823592,White,Islamabad,Local,660 cc,Hatchback
11819899,Solid White,Islamabad,Local,660 cc,Hatchback
11822674,Maroon,Punjab,Imported,660 cc,Hatchback
11822728,Black,Islamabad,Imported,660 cc,Hatchback
11821877,Black,Punjab,Imported,660 cc,Hatchback
11821362,White,Islamabad,Imported,660 cc,N/A
11821096,Magenta,Islamabad,Imported,660 cc,Hatchback
11699169,Pearl White,Islamabad,Imported,660 cc,Hatchback
11820829,Silver,Karachi,Imported,660 cc,Hatchback
11820711,Blue,Islamabad,Imported,660 cc,N/A
11820476,White,Islamabad,Local,660 cc,Hatchback
11819885,White,Islamabad,Imported,660 cc,Hatchback
11819597,Beige,Lahore,Local,660 cc,Hatchback
11816468,White,Islamabad,Imported,660 cc,Hatchback
11487465,red vine,Islamabad,Imported,660 cc,Hatchback
11818806,White,Islamabad,Imported,658 cc,Hatchback
11805393,White,Punjab,Local,660 cc,Hatchback
11817862,Red,Islamabad,Imported,660 cc,Hatchback
11817825,Black,Islamabad,Imported,660 cc,Hatchback
11817664,White,Islamabad,Imported,660 cc,N/A
11817603,Red,Lahore,Local,660 cc,N/A
11817452,Black,Islamabad,Imported,660 cc,Hatchback
11817245,White,Islamabad,Imported,660 cc,Hatchback
11816950,White,Punjab,Local,660 cc,Hatchback
11816444,Black,Islamabad,Imported,660 cc,Hatchback
11687796,white,Punjab,Imported,660 cc,Hatchback
11814985,Silver,Abbottabad,Imported,660 cc,Hatchback
11814684,White,Islamabad,Local,660 cc,Hatchback
11813935,Light Blue,Lahore,Imported,660 cc,Hatchback
11813349,White,Sindh,Imported,660 cc,N/A
11812849,Silver,Lahore,Imported,660 cc,Hatchback
11812291,White,Islamabad,Imported,660 cc,Hatchback
11709733,Maroon,Rawalpindi,Imported,660 cc,Hatchback
11811123,Magneta,Islamabad,Imported,660 cc,Hatchback
11810743,Black,Islamabad,Imported,660 cc,Hatchback
11579379,Red,Islamabad,Local,660 cc,Hatchback
11810084,Neon,Lahore,Imported,660 cc,Hatchback
11809982,White,Punjab,Imported,660 cc,Hatchback
11809932,Golden,Islamabad,Imported,660 cc,Hatchback
11570550,Black Mica,Sindh,Imported,660 cc,SUV
11809127,purple blue,Punjab,Imported,660 cc,Hatchback
11537870,Solid White,Punjab,Local,660 cc,Hatchback
11808658,Black,Lahore,Imported,660 cc,Hatchback
11808445,Black,Islamabad,Imported,660 cc,Hatchback
11808359,Silver,Islamabad,Local,660 cc,Hatchback
11808251,Black,Islamabad,Imported,660 cc,Hatchback
11807777,Black,Islamabad,Imported,660 cc,Hatchback
11806219,White,Sindh,Imported,660 cc,Hatchback
11468826,Solid White,Islamabad,Local,660 cc,Hatchback
11799683,White,Islamabad,Imported,660 cc,Mini Van
11784720,White,Islamabad,Local,660 cc,Hatchback
11224189,Black,Punjab,Imported,660 cc,Hatchback
9039736,White,Islamabad,Imported,660 cc,N/A
11882082,Turquoise,Sindh,Imported,660 cc,Hatchback
11878143,Silver,Punjab,Imported,660 cc,Hatchback
11877490,Silver,Islamabad,Imported,660 cc,Hatchback
11621273,Mica Black,Islamabad,Imported,660 cc,Hatchback
11858950,Maroon,Islamabad,Imported,660 cc,Hatchback
11851376,Pink,Punjab,Imported,660 cc,Hatchback
11728421,White,Punjab,Imported,660 cc,N/A
11846968,White,Sindh,Imported,660 cc,Hatchback
11834790,White,Islamabad,Imported,660 cc,N/A
11819989,Black,Punjab,Imported,660 cc,Hatchback
11816760,Silver,Rawalpindi,Local,660 cc,Hatchback
11803347,Silver,Islamabad,Imported,660 cc,N/A
11870942,Red,Islamabad,Imported,1000 cc,Hatchback
11915026,White,Punjab,Local,1000 cc,Hatchback
11747957,White,Islamabad,Local,1300 cc,Hatchback
11471568,Pearl Red,Islamabad,Local,1300 cc,Hatchback
11915125,Silver,Lahore,Local,1300 cc,Hatchback
11915118,Black,Islamabad,Imported,1000 cc,Hatchback
